Date,Open,High,Low,Close
2025-02-05,6020.45,6062.86,6007.06,6061.48
2025-02-06,6072.22,6084.03,6046.83,6083.57
2025-02-07,6083.13,6101.28,6019.96,6025.99
2025-02-10,6046.4,6073.38,6044.84,6066.44
2025-02-11,6049.32,6076.28,6042.34,6068.5
2025-02-12,6025.08,6063.0,6003.0,6051.97
2025-02-13,6060.59,6116.91,6050.95,6115.07
2025-02-14,6115.52,6127.47,6107.62,6114.63
2025-02-18,6121.6,6129.63,6099.51,6129.58
2025-02-19,6117.76,6147.43,6111.15,6144.15
2025-02-20,6134.5,6134.5,6084.59,6117.52
2025-02-21,6114.1,6114.82,6008.56,6013.13
2025-02-24,6026.69,6043.65,5977.83,5983.25
2025-02-25,5982.73,5992.65,5908.49,5955.25
2025-02-26,5970.87,6009.82,5932.69,5956.06
2025-02-27,5981.88,5993.69,5858.78,5861.57
2025-02-28,5856.74,5959.4,5837.66,5954.5
2025-03-03,5968.33,5986.09,5810.91,5849.72
2025-03-04,5811.98,5865.08,5732.59,5778.15
2025-03-05,5781.36,5860.59,5742.35,5842.63
2025-03-06,5785.87,5812.08,5711.64,5738.52
2025-03-07,5726.01,5783.01,5666.29,5770.2
2025-03-10,5705.37,5705.37,5564.02,5614.56
2025-03-11,5603.65,5636.3,5528.41,5572.07
2025-03-12,5624.84,5642.19,5546.09,5599.3
2025-03-13,5594.45,5597.78,5504.65,5521.52
2025-03-14,5563.85,5645.27,5563.85,5638.94
2025-03-17,5635.6,5703.52,5631.12,5675.12
2025-03-18,5654.53,5654.53,5597.76,5614.66
2025-03-19,5632.37,5715.33,5622.2,5675.29
2025-03-20,5646.92,5711.15,5632.33,5662.89
2025-03-21,5630.73,5670.84,5603.1,5667.56
2025-03-24,5718.08,5775.14,5718.08,5767.57
2025-03-25,5775.96,5786.95,5760.42,5776.65
2025-03-26,5771.66,5783.62,5694.41,5712.2
2025-03-27,5695.64,5732.28,5670.94,5693.31
2025-03-28,5679.2,5685.89,5572.42,5580.94
2025-03-31,5527.91,5627.56,5488.73,5611.85
2025-04-01,5597.53,5650.57,5558.52,5633.07
2025-04-02,5580.76,5695.31,5571.48,5670.97
2025-04-03,5492.74,5499.53,5390.83,5396.52
2025-04-04,5292.14,5292.14,5069.9,5074.08
2025-04-07,4953.79,5246.57,4835.04,5062.25
2025-04-08,5193.57,5267.47,4910.42,4982.77
2025-04-09,4965.28,5481.34,4948.43,5456.9
2025-04-10,5353.15,5353.15,5115.27,5268.05
2025-04-11,5255.56,5381.46,5220.77,5363.36
2025-04-14,5441.96,5459.46,5358.02,5405.97
2025-04-15,5411.99,5450.41,5386.44,5396.63
2025-04-16,5335.75,5367.24,5220.79,5275.7
2025-04-17,5305.45,5328.31,5255.58,5282.7
2025-04-21,5232.94,5232.94,5101.63,5158.2
2025-04-22,5207.67,5309.61,5207.67,5287.76
2025-04-23,5395.92,5469.69,5356.17,5375.86
2025-04-24,5381.38,5489.4,5371.96,5484.77
2025-04-25,5489.73,5528.11,5455.86,5525.21
2025-04-28,5529.22,5553.66,5468.64,5528.75
2025-04-29,5508.87,5571.95,5505.7,5560.83
2025-04-30,5499.44,5581.84,5433.24,5569.06
